,,,,,,,,,,,,,,,,,,,,,,,,
,,,Legend,Ready for Taiga,Ready for QA,Needs Reworking,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Type,Starting URL,QA Team Member,Author,Date Created,Nibbles Pass %,Opus Pass %,Most Recent Trace,Taiga Trace,Task Name,Task Text,Verifier,How To Solve,Why It's Hard,Final Trace,Group link,Archive,Failure Mode,Comments,,Old Task,Old Verifier,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Complete, but Triple Check Traces",,,,,,,,,,,,,,,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,Opus,Opus,"Colin, Kristian",Shrishti,,0% pass@10,0% pass@3,"Nibbles Trace: Link
Opus Trace: Link",,thatsedu-gender-flip-benefits,"Go to makinguse.com/thatsedu/ and view the Society perspective. With all benefit and cost categories enabled, switch between the ""ONLY MEN"" and ""ONLY WOMEN"" gender views. Compare the total benefits rankings between men and women. Which country rises the MOST positions in the benefits ranking when switching from Men to Women? Which country drops the MOST positions? Report the exact rank for each in both views and the number of positions changed including EU21 and OECD averages. Also report the total benefits dollarvalue for each country in both the Men and Women views.","[20]: Must correctly identify that Portugal and the United Kingdom rise the most when switching from Men to Women – by 13 positions.
[20]: Must state Portugal went from approximately #17 (Men) to #4 (Women), a rise of 13 positions. Must also state the United Kingdom went from #18 to #5.
[20]: Must state Portugal's total benefits go from $106,018 (Men) to $128,374 (Women). Must also state the United Kingdom's total benefits go from $117,497 (Men) to $112,709 (Women).
[20]: Must correctly identify that Israel drops the most when switching from Men to Women: from approximately #12 (Men) to #21 (Women), a drop of 9 positions.
[20]: Must state Israel's total benefits go from $127,213 (Men) to $50,063 (Women).",,,,,,Computes difference in return instead of position in ranking,"Kristian: The UK also rises in the rankings by 13 places. Verifier busted, but by examining the failures, we see that the agent still fails. I'll update the verifier accordingly, then we can run on nibbles.

Colin: Looks good, just for clarity I think we should specify that default settings should be used, don't think it warrants a rerun though",,,"Go to makinguse.com/thatsedu/ and view the Society perspective. With all benefit and cost categories enabled, switch between the ""ONLY MEN"" and ""ONLY WOMEN"" gender views. Compare the total benefits rankings between men and women. Which country rises the MOST positions in the benefits ranking when switching from Men to Women? Which country drops the MOST positions? Report the exact rank for each in both views and the number of positions changed including EU21 and OECD averages. Also report the total benefits dollarvalue for each country in both the Men and Women views.","[50]: Must correctly identify that Portugal rises the most when switching from Men to Women: from approximately #17 (Men) to #4 (Women), a rise of 13 positions. Portugal's total benefits go from $106,018 (Men) to $128,374 (Women). [50]: Must correctly identify that Israel drops the most when switching from Men to Women: from approximately #12 (Men) to #21 (Women), drop of 9 positions. Israel's total benefits go from $127,213 (Men) to $50,063 (Women). "
,Structured Information from Sheets or Docs with Complex Formatting,Opus,Opus,"Colin, Kristian",Shrishti,,,66%,old traces (on old version of task): https://trajectories.sh/t/ad1b19ef-76e3-462f-bed3-e2910e0820a6,,thatsedu-net-return-second-max,"In the default chart view (Perspective: Society; Gender: Men and Women), each country has three benefit bubbles. Identify what category the middle bubble represents. Use that same category for the rest of the task. Next, track that category across each and every combination of settings: Perspective (Society vs People), education type, and gender filter, etc. For each combination, list the country with second largest bubble for that category, as well as its associated absolute dollar value. Then among those results, find the largest bubble by absolute value.","[80]: Must report the following combinations of filters and values, and only this combination: 

Society, tertiary, men and women: Poland $62,513
Society, tertiary, only men: Hungary $80,072
Society, tertiary, only women: Austria 55,999$
Society, upper secondary, men and women: Slovenia $25,418
Society, upper secondary, only men: Slovenia $24,705
Society, upper secondary, only women: Slovenia $26,130
People, tertiary, men and women: Poland $67,986 (agent is allowed to note this is a negative value and its absolute value has been taken)
People, tertiary, only men: Slovenia $84,520 (agent is allowed to note this is a negative value and its absolute value has been taken)
People, tertiary, only women: Germany $60,157 (agent is allowed to note this is a negative value and its absolute value has been taken)
People, upper secondary, men and women: Germany $32,406 (agent is allowed to note this is a negative value and its absolute value has been taken)
People, upper secondary, only men: Slovak Republic $30,699 (agent is allowed to note this is a negative value and its absolute value has been taken)
People, upper secondary, only women, Slovenia -$28,104

[60]: Must identify Slovenia as the country with the second largest middle bubble and report its social contribution effect value of approximately $-84,520.",,,,,,"1. Timeout error caused by the agent taking the very long.
2. When agent uses the filter makes assumptions incorrect assumption that the only runner up contestant is for second is norway becuase it's below. once it sees norway is below and not the actual runner-up, it needs to overturn its assumption that possible contendors can't be above the item","Slovenia with the given settings only has 2 bubbles? I guess you're talking about the middle bubble as a representation of some value, but I think the question can be worded better

Kristian: Not clear in the instructions if the agent should report the largest nominal social cont. effect amongst all data, or across the subset of data we just collected. Verifier does not fully match what's requested (i.e. it's requested that the category the second bubble represents be provided – i.e. social cont. effect – but it's not in the verifier). Updating accordingly. I included my work hre.",,"In the default view (Society perspective, Men and Women), each country has three benefit bubbles. Identify what category the middle bubble represents. Then, tracking that same category across every possible combination of settings—perspective (Society vs People), education type, and gender filter—find which country has the second largest bubble for that category by absolute value. Among all combinations, find the one where that second largest bubble is maximized in absolute value. Report the combination of settings, the country name, the category you tracked, and the value of that bubble.","[40]: Must identify the correct combination of settings: People perspective,Tertiary education, Men. [60]: Must identify Slovenia as the country with the second largest middle bubble and report its social contribution effect value of approximately $-84,520.",
,Other,Opus,https://www.reuters.com/graphics/GLOBAL-ENVIRONMENT/INSECT-APOCALYPSE/egpbykdxjvq/,Shrishti,Colin,,,,,Old Taiga Link: https://taiga.ant.dev/problems/view?problemId=reuters-insect-true-bugs-threatened&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=2e3122ab-db50-483b-90a5-49af8a43e324,reuters-insect-true-bugs-threatened,"According to Reuters' 'Insect Apocalypse' article, how many species of True bugs are threatened?","[100]: States that exactly 41 species of True bugs are threatened, according to the article.","scroll to true bugs and count number of gray dots, black dots don't count",States that exactly 41 species of True bugs are threatened.,,,,,"Kristian: The wording of the task is ambiguous, there's nothing about the task denoting that it's unfair for the agent to look up this info elsewhere.

new comments on Taiga: agent knows that it has to count the number of dots to find the answer and recognizes that black = extinct and gray = threatened. Agent tries to count the dots systemically in horizontal rows but it is not clear what it is defining as rows. Tries numerous ways to count the dots but is unsuccessful and counts more gray dots than there actually are. Overestimates and counts 47 gray dots every time.Shrishti: task is simple but challenging. Agent doesn't know what to do, in the first trace it says that there's 6 dark dots which is just false and doesn't make much of an attempt to count all the gray dots. In the second trace, the agent doesn't even make an attempt to count the gray dots.",,"""How many species of True bugs are threatened?""",States 41 species of True bugs are threatened.,
,Other,Opus,https://www.gapminder.org/tools/#$chart-type=bubbles&url=v2,"Colin, Kristian","Ayush, Kristian",,,0/3,,https://taiga.ant.dev/problems/view?problemId=gapminder-population-by-age-nominal&problemVersionId=3bc2b65b-d171-495c-bc15-3f7da2f53d12&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&referrer=environment,gapminder-population-by-age-nominal,"Navigate to the Gapminder tool that would best help answer the following query. Rank the 4 countries, Armenia, Iceland, Indonesia, and Australia, from greatest to least based on the percentage of their population that was between (85, 99] years old in 2024. For the country with the greatest such percentage, find the number of people that were in that specified age range in 2024.","50: Ranks the countries from greatest to least based on the percentage of their population that was between 85 and 99 years old in 2024 as follows: Australia, Iceland, Armenia, Indonesia  
50: States that the number of people in Australia that were between 85 and 99 years old in 2024 is exactly 488,380.",,,,,,"Doesn't change the bins on the UI to calculate the exact population from ages (85,99] – provides rough figures for [85,99]",,,"Navigate to the Gapminder tool that would best help answer the following query. Rank the 4 countries, Armenia, Iceland, Indonesia, and Australia, from greatest to least based on the percentage of their population that was between 85 and 99 years old (inclusive on both ends) in 2024. For the country with the greatest such percentage, find the exact number of people that were between 85 and 99 years old in 2024.","50: Ranks the countries from greatest to least based on the percentage of their population that was between 85 and 99 years old in 2024 as follows: Australia, Iceland, Armenia, Indonesia  
50: States that the number of people in Australia that were between 85 and 99 years old in 2024 is exactly 580,280.",
,Navigating Government Sites and Using Government Portals,Opus,https://coast.noaa.gov/slr/, ,Colin,,,2/3,"new: 0%, pass@5
old: 20% pass@5",https://taiga.ant.dev/problems/view?problemId=noaa-slr-miami-highest-dry-level&problemVersionId=b550f368-4ef4-412e-a540-bb05b28e8138&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&referrer=environment,noaa-slr-miami-highest-dry-level,"I'm going to be visiting the Vizcaya Museum and Gardens in Miami. According to the NOAA site, what is the highest water level at which absolutely no water whatsoever appears in the simulated images of the Gardens? If you add 6 feet to that level, do the stairs get fully submerged?","50: States the highest water level with no water whatsoever is 3.5 feet.
50: States that at 9.5 feet (3.5 + 6) the stairs are NOT fully covered/submerged.",,,,,,Agent misses how small but key details in the image change as it uses a slider,,,"Find the interactive photo sea level rise simulation in Miami. What is the highest water level (in feet) at which no water appears in the simulation? If you add 6 feet to that water level, do the stairs get fully covered?","States the highest water level with no water is 3.5 feet, and that at 9.5 feet (3.5 + 6) the stairs are NOT fully covered.",
