,,,,,,,,,,,,,,,,,,,,,,,
,Legend,,Ready for HUD,✅ Ready to move to other sheet,🫡 Ready for QA,🙈 Big Reworking,🪛 Tweak Wording,🏃‍♂️ Run on Opus,In progress,No Status Label Yet,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Category,,Type,Starting URL,QA Team Member,Author,Date,Nibbles Pass %,Opus Pass %,Most Recent Trace,Task Name,Task Text,Verifier,How To Solve,Why It's Hard,Final Trace,Group link,Archive,Failure Mode,Comments,Healthcheck,Prev. Task,Prev. Verifier
,,,Taiga Pass@3 - Needs final lookover before final pass@10 + submission,,,,,,,,,,,,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,,hud,https://makinguse.com/thatsedu/,Colin,,,,39%,Taiga link,thatsedu-gender-flip-benefits,"Go to makinguse.com/thatsedu/ and view the Society perspective. With all benefit and cost categories enabled, switch between the ""ONLY MEN"" and ""ONLY WOMEN"" gender views. Compare the total benefits rankings between men and women. Which country rises the MOST positions in the benefits ranking when switching from Men to Women? Which country drops the MOST positions? Report the exact rank for each in both views and the number of positions changed including EU21 and OECD averages. Also report the total benefits dollarvalue for each country in both the Men and Women views.","[20]: Must correctly identify that Portugal and the United Kingdom rise the most when switching from Men to Women – by 13 positions.
[20]: Must state Portugal went from approximately #17 (Men) to #4 (Women), a rise of 13 positions. Must also state the United Kingdom went from #18 to #5.
[20]: Must state Portugal's total benefits go from $106,018 (Men) to $128,374 (Women). Must also state the United Kingdom's total benefits go from $117,497 (Men) to $112,709 (Women).
[20]: Must correctly identify that Israel drops the most when switching from Men to Women: from approximately #12 (Men) to #21 (Women), a drop of 9 positions.
[20]: Must state Israel's total benefits go from $127,213 (Men) to $50,063 (Women).",,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,,hud,https://makinguse.com/thatsedu/,Colin,,,,13%,https://taiga.ant.dev/problems/view?problemId=thatsedu-net-return-second-max&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=42f41729-95bb-49a1-b01f-976f3dab9d9f,thatsedu-net-return-second-max,"In the default chart view (Perspective: Society; Gender: Men and Women), each country has three benefit bubbles. Identify what category the middle bubble represents. Use that same category for the rest of the task. Next, track that category across each and every combination of settings: Perspective (Society vs People), education type, and gender filter, etc. For each combination, list the country with second largest bubble for that category, as well as its associated absolute dollar value. Then among those results, find the largest bubble by absolute value.","[80]: Must report the following combinations of filters and values, and only this combination: 

Society, tertiary, men and women: Poland $62,513
Society, tertiary, only men: Hungary $80,072
Society, tertiary, only women: Austria 55,999$
Society, upper secondary, men and women: Slovenia $25,418
Society, upper secondary, only men: Slovenia $24,705
Society, upper secondary, only women: Slovenia $26,130
People, tertiary, men and women: Poland $67,986 (agent is allowed to note this is a negative value and its absolute value has been taken)
People, tertiary, only men: Slovenia $84,520 (agent is allowed to note this is a negative value and its absolute value has been taken)
People, tertiary, only women: Germany $60,157 (agent is allowed to note this is a negative value and its absolute value has been taken)
People, upper secondary, men and women: Germany $32,406 (agent is allowed to note this is a negative value and its absolute value has been taken)
People, upper secondary, only men: Slovak Republic $30,699 (agent is allowed to note this is a negative value and its absolute value has been taken)
People, upper secondary, only women, Slovenia -$28,104

[60]: Must identify Slovenia as the country with the second largest middle bubble and report its social contribution effect value of approximately $-84,520.",Link,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,,hud,https://www.reuters.com/graphics/GLOBAL-ENVIRONMENT/INSECT-APOCALYPSE/egpbykdxjvq/,EQ,,,,0%,https://taiga.ant.dev/problems/view?problemId=reuters-insect-true-bugs-threatened&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=6d573e34-3edf-4e30-ad87-2558a263a569,reuters-insect-true-bugs-threatened,"According to Reuters' 'Insect Apocalypse' article, how many species of True bugs are threatened?","[100]: States that exactly 41 species of True bugs are threatened, according to the article.",Count green dots on true bugs count ,"counting is hard, also have to figure out which dots to count and be precise. ",,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,,hud,https://www.gapminder.org/tools/#$chart-type=bubbles&url=v2,Colin,,,,50%,https://taiga.ant.dev/problems/view?problemId=gapminder-population-by-age&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=4d50075c-c8d2-4c70-b5b1-3e6d0d2ceff3,gapminder-population-by-age-nominal,"Navigate to the Gapminder tool that would best help answer the following query. Rank the 4 countries, Armenia, Iceland, Indonesia, and Australia, from greatest to least based on the percentage of their population that was between (85, 99] years old in 2024. For the country with the greatest such percentage, find the number of people that were in that specified age range in 2024.","50: Ranks the countries from greatest to least based on the percentage of their population that was between 85 and 99 years old in 2024 as follows: Australia, Iceland, Armenia, Indonesia  
50: States that the number of people in Australia that were between 85 and 99 years old in 2024 is exactly 488,380.",Link,,,,,,,,,
,Navigating Government Sites and Using Government Portals,,hud,https://coast.noaa.gov/slr/,Colin (author + QA),,,,45%,https://taiga.ant.dev/problems/view?problemId=noaa-slr-miami-highest-dry-level&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=ea2499cf-b95a-4647-a215-93f459988dcb,noaa-slr-miami-highest-dry-level,"I'm going to be at the Vizcaya Museum and Gardens in Miami. According to the noa coast website, what is the highest water level (in feet) at which no water appears at the venue? If you add 6 feet to that water level, do the stairs get fully covered?","States the highest water level with no water is 3.5 feet, and that at 9.5 feet (3.5 + 6) the stairs are NOT fully covered.",,,,,,,,,,
,"E-Commerce (Clothing, Furniture, Home Decor, and Electronics)",,hud,https://press.stripe.com/,Ayush,,,,25%,https://taiga.ant.dev/problems/view?problemId=stripe-country&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=5f6c1dde-85fe-4c5b-8ebb-e61e0f8d1406,stripe-country,"Explore the Stripe Press catalog and view the covers of every book. Among those covers, identify the book where the country
pictured visually occupies the largest percentage of the cover's total area. State the book title and which country is pictured.","[100]: Maintenance: Of Everything, Part One: Brazil. ",,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,,hud,https://musicmap.info/,Colin,,,,15%,https://taiga.ant.dev/problems/view?problemId=mm-secondary-connections&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=fabd9b2e-87d9-42fb-bf70-db7381ec4c55,mm-secondary-connections,"Go to musicmap.info and explore the map to find the genre Pop. Which subgenres within Pop have the most secondary connections and how many secondary connections do they have? List the subgenre name, the number of secondary connections, and what those connections are. Do not include subgenres on the border of another supergenre.","[50] Must identify that Soft Rock/Adult Contemporary has the most secondary connections with 5 connections. [50] Must name singer/songwriter, (early) pop rock & power pop, country pop & rock, chicago & detroit soul (motown), and smooth jazz as the connected subgenres.", ,,,,,,,,,
