,,,,,,,,,,,,,,,,,,,,,
,,,,Legend,✅ Accepted,🫡 Ready for QA,🙈 Big Reworking,🪛 Tweak Wording,🏃‍♂️ Run on Opus,In progress,No Status Label Yet,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Category,Type,Starting URL,QA Team Member,Author,Date,Opus Pass %,Most Recent Trace,Task Name,Task Text,Verifier,How To Solve,Why It's Hard,Final Trace,Group link,Archive,Failure Mode,Comments,Healthcheck,Prev. Task,Prev. Verifier
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Other,Opus,https://www.gapminder.org/tools/#$chart-type=bubbles&url=v2,Shrishti,Ayush,,,https://www.trajectories.sh/t/314f2bd2-4681-4e1e-b83d-7f4cca191a74,gapminder-carbon-emissions-by-country,"Navigate to the Gapminder tool that would best help answer the following query. Consider USA, Russia, China, and Nigeria. After 1920, which of the other 3 countries came closest to the USA in carbon emissions in tons per capita? In which year, or years, did this smallest difference occur?","50: ""Identifies that Russia came closest to the USA in carbon emissions in tons per capita after 1920.""
50: ""Identifies that the smallest difference occurred in 1986 and 1987.""",,,,,,Timeout,"website is cool and task is challenging. it's unclear what the x-axis is supposed to be is it supposed to be gdp per capita? i guess it doesn't affect the answer in the end but could be possible failure mode for a relationship/prediction question. traces look good but the failure mode is timeout. first 3 traces time out after 65 steps but take the correct steps: changing the y-axis, using the timeline to look at the carbon emissions per year, seraching up the correct questions. they all report the right numbers too and recognize that russia is the closest to the us.",,,
,"E-Commerce (Clothing, Furniture, Home Decor, and Electronics)",Tzafon,https://shopify.supply/collections/performance-pack,,Kristian,April 17,100%,,,"Some t-shirts on this Shopify Performance Pack page display the Shopify bag logo on the front. For each such t-shirt, identify the type (color alone is sufficient), where on the t-shirt the bag is located, and note whether only half of the logo is printed on the t-shirt. Explain your reasoning.","50: Optionally states that there is a white t-shirt with a Shopify logo on the front right side of the sleeve (the name of this t-shirt it the Front Runner Tee). Optionally states that there is a green t-shirt (The Power On Tee) that has the Shopify bag + logo text on a small tag on the pocket square. Non-optional: lists the black t-shirt (also described asCommerce Champion Tee), that the shopify bag logo is on the front right behind/next to the pocket square. 50: States that it's not truly the case that half the logo is printed on the black t-shirt, the pocket in front of it which is why it makes it appear to be cut in half.","Scroll down on the interactive product showcase until you hit the black t-shirt. note that only half the shopify bag logo was not printed on the shirt, the pocket square is simply obfuscating its view.",unexpected product ui; has to reason around how overlaying objects in the real world influence appearences.,,,,,,,,
,Other,Tzafon,https://www.gapminder.org/tools/#$chart-type=linechart&url=v2,"Colin, Shrishti",Ayush,,100%,https://www.trajectories.sh/t/a5cfdec3-6a30-4f35-80c6-244173d06bbc,gapminder-ranking-gdp-per-capita-2006-using-linechart,"Using the Gapminder line chart, rank Finland, Nigeria, Argentina, Bulgaria, and the UK from highest to lowest GDP per capita in 2006. Report the GDP per capita of the top-ranked country as shown in the chart.","50: Ranking is Finland, UK, Argentina, Bulgaria, Nigeria (in that order)
50: GDP of top country is approximately 54,400 or 54.4k (accept equivalent representations: 54.4k, 54,400, ~54k, $54,400)",,,,,,Timeout,"Colin: 3 total failes, agent times out 2x, agent arrives at the correct answer then submits a wrong answer 1x - https://www.trajectories.sh/t/a5cfdec3-6a30-4f35-80c6-244173d06bbc/viewer/jobs/conduit-traj-2x_7h52s/tasks/_/conduit/_/global.anthropic.claude-opus-4-5-20251101-v1%3A0/gapminder-ranking-gdp-per-capita-2006-using-linechart/trials/conduit__9653d52. this task might be too easy for agent since it passes 40% and only has error on timeout.",,"Using the Gapminder line chart, rank the following countries from greatest to least GDP per capita in 2006: Finland, Nigeria, Argentina, Bulgaria, and the UK. What is the GDP per capita of the country that ranks 1st? Provide as precise a value as you can find.",
,Structured Information from Sheets or Docs with Complex Formatting,Tzafon,https://makinguse.com/thatsedu/,"Colin, Kristian",Shrishti,,100% pass@3,https://www.trajectories.sh/t/32a7896f-0170-46bf-94d4-91186c141f6b,thatsedu-income-tax-ranking-collapse,"First, with all benefit and costs categories enabled, identify the country ranked #5 in terms of the net return. Note its total benefits value. Now uncheck ONLY the ""Income tax effect"" benefit category and observe how the rankings change. What position does that same country drop to, include EU21 average and OECD averages as part of the ranking? Report what country is now ranked #5 after the Income tax effect is removed. Finally, report the difference in net return between the new and old #5 countries after the income tax effect is removed. Include your mathematical reasoning.","[25]: Must identify Ireland as the country ranked #5 by net return with all categories enabled. [25] States the total benefit for ireland is $162,856. [30] Must correctly report that after unchecking Income tax effect, Ireland drops from #5 to #20. [40] Must identify that Czech Republic becomes the new #5 after Income tax effect is removed. Czech Republic's net return is $24,357 and Ireland's net return is $-13,136. The difference is $37,493.",,,,,,,"Colin: Verifier gives net return instead of total benefit, also I think we should specify whether EU21 average, OECD average count as rankings (i.e. do we want to rank by country or by every entry, #18 vs #20)

Kristian: Some parts of the task expected extra info in the verifier, some info in the verifier expected extra requests in the task. I went ahead and added those. ",,"First, with all benefit and costs categories enabled, identify the country ranked #5 in terms of the net return. Note its total benefits value. Now uncheck ONLY the ""Income tax effect"" benefit category and observe how the rankings change. What position does that same country drop to, include EU21 average and OECD averages as part of the ranking? Report what country is now ranked #5 after the Income tax effect is removed. Finally, report the difference in net return between the new and old #5 countries after the income tax effect is removed.","[25]: Must identify Ireland as the country ranked #5 by net return with all categories enabled. [30] Must correctly report that after unchecking Income tax effect, Ireland drops from #5 to #20. [40] Must identify that Czech Republic becomes the new #5 after Income tax effect is removed. Czech Republic's net return is $24,357 and Ireland's net return is $-13,136. The difference is $37,493."
,Navigating Multiple Government Sites and Using Government Portals,Tzafon,,,Erik,April 21,100% pass@3,Opus 4.7 on Taiga,portillos-identify-all-5pct-holders,"Using the SEC EDGAR filing page for Portillo's Inc. (PTLO), research the Engaged Capital activist situation. From the SC 13D filed in August 2024, what percentage stake did Engaged Capital acquire and what was their stated purpose for the investment? From the 10-K for fiscal year 2024 (filed February 2025, period ending December 29, 2024), what was Portillo's total revenue, net cash from operating activities, and capital expenditures? From the DEF 14A proxy filed in April 2025, what were the key terms of the cooperation agreement between Portillo's and Engaged Capital?","30: Engaged Capital acquired approximately 9.9% of Class A common stock per the SC 13D filed August 15, 2024. Their stated purpose included optimizing restaurant performance, improving restaurant-level cash-on-cash returns, enhancing corporate governance including potential board changes, and/or exploring a sale of the company. Accept percentage answers in the range of 9-10%.
30: From the FY2024 10-K (fiscal year ending December 29, 2024), Portillo's reported total revenue of approximately $710 million (accept $690-715M), net cash from operating activities of approximately $98 million (accept $95-100M), and capital expenditures of approximately $88 million (accept $85-92M). Do NOT accept if the model pulls numbers from FY2025 or FY2023.
30: The cooperation agreement (April 28, 2025) included Engaged Capital getting board representation, the company agreeing to certain governance changes, and Engaged agreeing to a standstill and voting commitments. Engaged must maintain at least the lesser of 5% of outstanding stock or 3,193,486 shares. Accept if the model identifies board seats and standstill as key terms. Do NOT accept vague summaries without specific terms.",,,,,,,,,,
,Navigating Multiple Government Sites and Using Government Portals,Tzafon,,,Erik,April 21,100% pass@3,Opus 4.7 on Taiga: Link,"portillos-engaged-capital-activist-thesis
","Using the SEC EDGAR filing page for Portillo's Inc. (PTLO), research the Engaged Capital activist situation. From the SC 13D filed in August 2024, what percentage stake did Engaged Capital acquire and what was their stated purpose for the investment? From the 10-K for fiscal year 2024 (filed February 2025, period ending December 29, 2024), what was Portillo's total revenue, net cash from operating activities, and capital expenditures? From the DEF 14A proxy filed in April 2025, what were the key terms of the cooperation agreement between Portillo's and Engaged Capital?",,,,,,,,,,,
