ds,,,,,,,,,,,,,,,,,,,,
,Legend,✅ Accepted,🫡 Ready for QA,🙈 Big Reworking,🪛 Tweak Wording,🏃‍♂️ Run on Opus,In progress,No Status Label Yet,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Type,Starting URL,QA Team Member,Author,Date,Opus Pass %,Most Recent Trace,Task Name,Task Text,Verifier,How To Solve,Why It's Hard,Final Trace,Group link,Archive,Failure Mode,Comments,Healthcheck,Prev. Task,Prev. Verifier
,,,,,,,,,,,,,,,,,,,,
,Navigating Government Sites and Using Government Portals,,https://eyes.nasa.gov/apps/solar-system,"Shrishti, Ayush",Shrishti,,0%,0%,https://www.trajectories.sh/t/0c7df79c-8533-4978-ab99-0faef6420923?trial=conduit__0f11304&step=1,nasa-constellation-second-most-stars,"Go to eyes.nasa.gov/apps/solar-system and view the following constellations: Pisces, Cetus, Carina, Hydra, and Eridanus. For each constellation, determine the number of stars it contains. Then answer: which of these constellations
has the second most stars, and how many stars does it have? State the star count for each of the five constellations.","[50]: Correctly states the number of stars for each constellation: Pisces = 17, Carina = 16, Hydra = 19, Cetus = 18, Eridanus = 28. [50]: Identifies that the second most stars is Hydra, with 19 stars. (Eridanus has the most at 28.)",,,,,,,need someone to check verifier,
,Navigating Government Sites and Using Government Portals,,https://eyes.nasa.gov/apps/solar-system,"Chris, Ayush",Shrishti,,0.17%,0%,https://www.trajectories.sh/t/43773570-970c-4ff6-9dd9-c80a2091b30e?trial=conduit__0381d63&step=131,nasa-satellites-jul-2009,Count the number of satellites during July 2009 and list them. Only count satellites that are further from the earth than the moon is at any point during the month and no satellites that orbit other planets.,"[80]: dawn, STEREO ahead, STEREO behind, messenger, kepler, stardust, spitzer space telescope, deep impact, rosetta, new horizons, voyager 1, voyager 2, pioneer 10, pioneer 11, soho, ace, LCROSS, geotail [20]: 18 satellites",,,,,,,"new comments: agent correctly identifies most of the satellites but discounts some of them because they orbit the moon or are in ""earth moon"" system even though prompt says count satellites that are farther than the moon. Also note that the moon is not a planet so satellites that orbit the moon should be counted",
,Navigating Government Sites and Using Government Portals,,https://eyes.nasa.gov/apps/solar-system,"Chris, Ayush",Shrishti,,10%,0%,https://www.trajectories.sh/t/fe44838e-f86e-4da9-a4f4-21da750f68e4,nasa-calipso-orbit,"If Calipso begins its orbit on Janurary 31, 2010 at 2:48 AM UTC, at what time and date does it complete its third orbit?","[100]: 8:45 AM UTC January 31, 2010. Allow a leeway of 5 minutes.",,,,,,,agent correctly gets some of the satellites but then starts searching up from memory about satellites that it knows were launched during that time period even though they are not viewable in the UI.,
,,,,,,,,,,,,,,,,,,,,
,Navigating Government Sites and Using Government Portals,Opus,https://storymaps.arcgis.com/stories/ef3a8bd2115140c287064f7f1a32992a,Shrishti,Kristian,April 25,,0% pass@3,Trace,,"According to the City of Charleston's interactive storymap, how did the percentage of black residents in Hampton Park (not Hampton Park Terrace at large) change from 2010 to 2020? What was the percentage point change?","According to the City of Charleston's interactive storymap, how did the percentage of black residents in Hampton Park (not Hampton Park Terrace at large) change from 2010 to 2020? What was the percentage point change?",100: States that the percentage point change was 28.57 percentage points.,,Must try scrolling down to second graph; must drag slider and click on item before and after to record changed value,,,,there are 2 ways to find the percentage: 1 with the population graph and 1 with the census block graph. the population graph gives the percentages only for hampton park terrace while the census block gives the percentage for the actual hampton park. the agent should choose the second one even though it isn't specified.,Shrishti: The agent goes to the section called CHANGE IN BLACK POPULATION BY NEIGHBORHOOD instead of CHANGE IN BLACK POPULATION BY CENSUS BLOCK. It goes to the census block chart and finds the percentage for 2010 but then scrolls up for 2020 and concludes based on neighborhood. It's unclear which percentage to use so update verifier to say by census block. The agent realizes that it is finding the percentage for hampton park terrace and not hampton park but doesn't know that it can zero in on hampton park. I still don't know how fair it is to not specify by census block but that is potentially the failure mode
,Navigating Government Sites and Using Government Portals,Opus,https://storymaps.arcgis.com/stories/5a914f5b70d449968f9163560094eb98,Shrishti,Kristian,April 25,,66% pass@3,Trace,,cambridge-beudo-most-energy-2024,"According to the Cambridge BEUDO Covered Properties map provided by the city, amongst the buildings bounded by Quincy, Broadway, Prescott, and Harvard St, which one is the most energy efficient in 2024? Provide any supporting metrics.",States that 11 Prescott St (BEUDO Reporting ID B1274) is the most energy efficient building with a Site EUI of 37.6 kBtu/ft2.,,,,,,,Shrishti: I really like this task and the way it uses the UI. Agent gets it completely correct in 2 runs so likely too easy for nibbles but on the run that it fails it doesn't click on 11 Prescott St at all and misses click on the blue dot a lot. Run on Taiga/Opus again to see how it performs.
,,,,,,,,,,,,,,,,,,,,
